type	latitude	longitude	altitude (m)	color	opacity	name	desc	kml_folder
T	14.056950006	120.793115656	433.2					
T	14.056894496	120.793211025	433.7					
T	14.056839017	120.793306339	434.4					
T	14.056783570	120.793401599	434.8					
T	14.056668245	120.793529825	436.0					
T	14.056548527	120.793595809	440.3					
T	14.056393421	120.793600620	446.3					
T	14.056298204	120.793572492	450.1					
T	14.056167612	120.793483367	455.3					
T	14.056037169	120.793394343	460.3					
T	14.055935487	120.793273458	462.8					
T	14.055866995	120.793182607	462.9					
T	14.055734637	120.793062933	461.8					
T	14.055661755	120.792910364	458.5					
T	14.055654995	120.792817580	456.1					
T	14.055619697	120.792756804	454.9					
T	14.055575399	120.792572369	450.6					
T	14.055559631	120.792355937	452.3					
T	14.055550620	120.792232262	455.3					
T	14.055537105	120.792046749	459.8					
T	14.055558869	120.791921877	462.3					
T	14.055611429	120.791795754	464.2					
T	14.055595654	120.791579231	469.5					
T	14.055610674	120.791361431	474.4					
T	14.055592643	120.791113942	480.9					
T	14.055605410	120.790865106	486.5					
T	14.055589630	120.790648524	495.3					
T	14.055571597	120.790401002	506.0					
T	14.055555817	120.790184421	515.4					
T	14.055540038	120.789967840	524.8					
T	14.055522005	120.789720319	535.2					
T	14.055534763	120.789471251	544.9					
T	14.055521236	120.789285585	552.4					
T	14.055540761	120.789129267	555.8					
T	14.055524977	120.788912626	548.6					
T	14.055535485	120.788632421	539.3					
T	14.055526464	120.788508609	535.2					
T	14.055536973	120.788228306	526.2					
T	14.055525696	120.788073520	521.2					
T	14.055540718	120.787855039	514.6					
T	14.055588827	120.787665657	509.1					
T	14.055634706	120.787445186	502.7					
T	14.055715993	120.787284704	498.1					
T	14.055766459	120.787125971	492.8					
T	14.055757424	120.787001966	488.6					
T	14.055684380	120.786850809	484.4					
T	14.055585050	120.786763643	483.2					
T	14.055483549	120.786645586	481.9					
T	14.055386645	120.786589535	482.9					
T	14.055228327	120.786537464	485.5					
T	14.055074738	120.786547284	488.8					
T	14.054921368	120.786557090	494.1					
T	14.054829450	120.786562968	498.3					
T	14.054683172	120.786665306	505.1					
T	14.054567647	120.786765572	509.7					
T	14.054480527	120.786832992	512.7					
T	14.054367476	120.786963867	515.4					
T	14.054287258	120.787123506	515.8					
T	14.054298474	120.787277458	513.2					
T	14.054246525	120.787404286	512.3					
T	14.054222804	120.787498450	511.2					
T	14.054177624	120.787717468	517.6					
T	14.054158405	120.787873076	522.1					
T	14.054111021	120.788061139	528.1					
T	14.054124466	120.788245672	532.4					
T	14.054140150	120.788460961	539.7					
T	14.054097265	120.788710298	550.6					
T	14.054112945	120.788925526	559.4					
T	14.054098229	120.789142340	568.6					
T	14.054079037	120.789297616	565.8					
T	14.054090234	120.789451308	561.1					
T	14.054101431	120.789605000	556.3					
T	14.054114867	120.789789430	550.5					
T	14.054123825	120.789912384	546.6					
T	14.054135022	120.790066077	541.3					
T	14.054150697	120.790281246	533.2					
T	14.054166373	120.790496416	525.1					
T	14.054179809	120.790680848	518.4					
T	14.054193246	120.790865281	511.8					
T	14.054204442	120.791018975	507.0					
T	14.054178521	120.791081762	505.4					
T	14.054187477	120.791204700	501.7					
T	14.054207629	120.791481310	493.2					
T	14.054284123	120.791694007	486.4					
T	14.054393345	120.791936389	479.8					
T	14.054437243	120.792119765	474.9					
T	14.054476670	120.792241662	471.4					
T	14.054546591	120.792362465	467.2					
T	14.054581567	120.792422893	465.0					
T	14.054688796	120.792635070	463.1					
T	14.054728299	120.792757162	464.6					
T	14.054776788	120.793002492	468.4					
T	14.054790251	120.793187295	471.8					
T	14.054829779	120.793309502	474.1					
T	14.054808202	120.793433700	475.8					
T	14.054823909	120.793649306	478.6					
T	14.054804579	120.793804236	480.6					
T	14.054783011	120.793928331	482.2					
T	14.054730923	120.794053279	483.8					
T	14.054646122	120.794148260	485.2					
T	14.054624595	120.794272200	482.8					
T	14.054579318	120.794489219	477.4					
T	14.054529586	120.794644618	473.6					
T	14.054505851	120.794737656	471.3					
T	14.054386354	120.794771550	470.8					
T	14.054406500	120.795048094	464.1					
T	14.054319754	120.795111765	463.1					
T	14.054202717	120.795176110	462.4					
T	14.054051020	120.795179751	465.4					
T	14.053927583	120.795152003	468.9					
T	14.053832307	120.795092906	472.3					
T	14.053672205	120.794974107	478.2					
T	14.053574914	120.794884542	481.5					
T	14.053445321	120.794765240	485.3					
T	14.053315875	120.794646074	488.5					
T	14.053212207	120.794465099	491.1					
T	14.053145369	120.794375088	492.1					
T	14.053046295	120.794255438	493.0					
T	14.052975103	120.794104485	492.0					
T	14.052933963	120.793952720	489.4					
T	14.052832839	120.793802834	487.1					
T	14.052761768	120.793652137	484.5					
T	14.052692957	120.793532023	482.4					
T	14.052619744	120.793350998	479.1					
T	14.052608639	120.793198552	481.3					
T	14.052569829	120.793077615	483.7					
T	14.052498901	120.792927270	486.8					
T	14.052455683	120.792745479	491.0					
T	14.052414697	120.792594206	494.5					
T	14.052371503	120.792412513	499.6					
T	14.052298462	120.792232008	505.8					
T	14.052287370	120.792079735	510.4					
T	14.052246430	120.791928643	514.9					
T	14.052237558	120.791806842	518.4					
T	14.052198849	120.791686254	521.7					
T	14.052181106	120.791442689	528.5					
T	14.052176671	120.791381797	530.2					
T	14.052158928	120.791138232	537.0					
T	14.052177669	120.790984693	541.4					
T	14.052253893	120.790797982	546.9					
T	14.052304745	120.790673421	551.3					
T	14.052385518	120.790547417	555.5					
T	14.052466359	120.790421306	559.4					
T	14.052482952	120.790236907	565.4					
T	14.052531709	120.790081522	569.9					
T	14.052612679	120.789955109	572.1					
T	14.052661508	120.789799536	573.9					
T	14.052680371	120.789645378	576.1					
T	14.052724788	120.789428565	579.0					
T	14.052741443	120.789243743	581.8					
T	14.052813698	120.788994574	578.5					
T	14.052855963	120.788746826	572.1					
T	14.052898252	120.788498938	565.1					
T	14.052972873	120.788279801	558.8					
T	14.053017454	120.788062207	558.0					
T	14.053057600	120.787783275	557.6					
T	14.053134592	120.787594240	555.3					
T	14.053114514	120.787318652	555.9					
T	14.053137959	120.787224941	555.1					
T	14.053156947	120.787069944	554.4					
T	14.053143558	120.786886168	554.4					
T	14.053190475	120.786698544	553.8					
T	14.053213943	120.786604692	552.2					
T	14.053202781	120.786451481	548.6					
T	14.053251967	120.786294306	544.3					
T	14.053273221	120.786169703	541.1					
T	14.053283312	120.785891766	534.1					
T	14.053265442	120.785646490	527.3					
T	14.053168202	120.785560770	526.7					
T	14.053038676	120.785446590	526.6					
T	14.052939397	120.785330423	526.5					
T	14.052756693	120.785312517	530.9					
T	14.052636546	120.785320978	534.1					
T	14.052493230	120.785423197	538.6					
T	14.052380057	120.785523188	540.2					
T	14.052179533	120.785659773	542.6					
T	14.052094349	120.785726939	543.7					
T	14.051951796	120.785828600	545.3					
T	14.051811661	120.785960567	544.9					
T	14.051669505	120.786061922	543.4					
T	14.051500066	120.786195521	533.6					
T	14.051417667	120.786292626	528.4					
T	14.051337551	120.786420026	522.9					
T	14.051225672	120.786518887	516.4					
T	14.051173097	120.786613802	512.8					
T	14.051070244	120.786833809	510.2					
T	14.051022174	120.786989208	510.5					
T	14.050942390	120.787116049	508.7					
T	14.050864881	120.787273085	507.3					
T	14.050787436	120.787429989	506.6					
T	14.050714467	120.787647311	511.3					
T	14.050645968	120.787924978	519.8					
T	14.050600333	120.788109959	525.1					
T	14.050495924	120.788298192	528.0					
T	14.050450369	120.788482916	533.0					
T	14.050465784	120.788694517	541.6					
T	14.050449619	120.788877485	547.8					
T	14.050460628	120.789028608	553.9					
T	14.050471636	120.789179731	559.9					
T	14.050482645	120.789330854	563.8					
T	14.050493653	120.789481978	567.6					
T	14.050506864	120.789663326	571.9					
T	14.050524477	120.789905125	577.1					
T	14.050562673	120.790024589	578.1					
T	14.050603081	120.790174319	574.2					
T	14.050647906	120.790384567	568.5					
T	14.050654514	120.790475280	566.2					
T	14.050726578	120.790654009	559.7					
T	14.050730984	120.790714502	558.0					
T	14.050771439	120.790864413	552.9					
T	14.050807497	120.790953857	550.0					
T	14.050879643	120.791132820	545.4					
T	14.050949625	120.791281613	541.9					
T	14.051017440	120.791400208	538.6					
T	14.051123647	120.791638810	532.0					
T	14.051130266	120.791729689	530.7					
T	14.051198179	120.791848493	528.2					
T	14.051240979	120.792029142	525.3					
T	14.051342952	120.792207572	520.6					
T	14.051408772	120.792296283	517.7					
T	14.051481258	120.792476049	513.1					
T	14.051515306	120.792535631	511.3					
T	14.051615297	120.792684122	506.5					
T	14.051628562	120.792866237	504.1					
T	14.051701170	120.793046315	500.4					
T	14.051744125	120.793227489	497.5					
T	14.051727707	120.793410649	496.2					
T	14.051711295	120.793593759	495.5					
T	14.051726773	120.793806259	494.2					
T	14.051742251	120.794018760	493.1					
T	14.051757729	120.794231260	494.1					
T	14.051802896	120.794442938	499.7					
T	14.051841442	120.794563578	502.8					
T	14.051850288	120.794685042	505.9					
T	14.051867982	120.794927970	512.0					
T	14.051821850	120.795111628	512.4					
T	14.051801005	120.795233772	511.1					
T	14.051782375	120.795386231	509.5					
T	14.051736292	120.795569658	508.1					
T	14.051662799	120.795783953	507.4					
T	14.051591574	120.796028385	498.7					
T	14.051511581	120.796151399	493.2					
T	14.051399881	120.796244591	488.6					
T	14.051345180	120.796306287	486.0					
T	14.051231462	120.796369053	482.8					
T	14.051142952	120.796370710	481.9					
T	14.050961751	120.796313575	481.7					
T	14.050780853	120.796256534	482.0					
T	14.050686121	120.796167679	484.6					
T	14.050530606	120.796049917	488.0					
T	14.050377501	120.795962461	490.5					
T	14.050337249	120.795812374	493.8					
T	14.050272137	120.795723238	494.9					
T	14.050177826	120.795634803	495.8					
T	14.050077017	120.795456126	497.7					
T	14.049980675	120.795337784	498.8					
T	14.049942736	120.795218123	500.1					
T	14.049904807	120.795098494	501.3					
T	14.049866888	120.794978900	502.7					
T	14.049828980	120.794859338	505.0					
T	14.049730645	120.794711297	508.0					
T	14.049719698	120.794560981	510.7					
T	14.049646165	120.794352196	514.6					
T	14.049541410	120.794114341	519.4					
T	14.049436742	120.793876685	525.5					
T	14.049390209	120.793637375	531.8					
T	14.049312486	120.793369074	538.9					
T	14.049268176	120.793159947	545.6					
T	14.049252875	120.792949858	552.5					
T	14.049210765	120.792770828	558.7					
T	14.049195466	120.792560769	565.8					
T	14.049180167	120.792350711	575.2					
T	14.049162682	120.792110645	587.1					
T	14.049147383	120.791900587	597.2					
T	14.049132084	120.791690530	607.2					
T	14.049116785	120.791480474	612.9					
T	14.049128280	120.791239153	619.5					
T	14.049168771	120.790996475	626.6					
T	14.049184651	120.790815036	629.6					
T	14.049227362	120.790602174	622.9					
T	14.049216424	120.790452010	620.5					
T	14.049292566	120.790297682	614.2					
T	14.049304099	120.790055899	609.5					
T	14.049290966	120.789875604	601.5					
T	14.049280022	120.789725359	592.8					
T	14.049327173	120.789572134	582.3					
T	14.049345283	120.789420336	572.8					
T	14.049446259	120.789203741	557.5					
T	14.049495692	120.789080310	550.2					
T	14.049538577	120.788866527	539.8					
T	14.049590256	120.788773038	534.6					
T	14.049637577	120.788619274	527.0					
T	14.049657956	120.788497187	521.4					
T	14.049734492	120.788341619	513.5					
T	14.049813286	120.788216062	508.3					
T	14.049941827	120.787966353	499.1					
T	14.049989337	120.787812066	494.1					
T	14.050007607	120.787659456	489.8					
T	14.050025882	120.787506804	485.9					
T	14.050044161	120.787354109	483.0					
T	14.050060246	120.787171185	479.4					
T	14.050080735	120.787048592	477.4					
T	14.050128330	120.786893901	475.7					
T	14.050207474	120.786767443	475.8					
T	14.050280079	120.786550208	477.6					
T	14.050434285	120.786236190	486.8					
T	14.050454868	120.786113211	489.0					
T	14.050504871	120.785988198	492.3					
T	14.050550490	120.785802575	495.5					
T	14.050641805	120.785431018	495.1					
T	14.050658029	120.785247189	493.8					
T	14.050760508	120.785026605	494.9					
T	14.050747259	120.784844754	492.9					
T	14.050788598	120.784597893	492.4					
T	14.050857278	120.784318332	493.3					
T	14.050871344	120.784103757	492.5					
T	14.050887624	120.783919461	492.3					
T	14.050867731	120.783646418	490.3					
T	14.050763675	120.783441134	485.5					
T	14.050691408	120.783263951	480.1					
T	14.050614764	120.783026250	470.1					
T	14.050542579	120.782849281	462.7					
T	14.050407154	120.782616773	452.7					
T	14.050269675	120.782354257	443.5					
T	14.050102999	120.782094576	435.7					
T	14.049999580	120.781890569	431.2					
T	14.049921139	120.781623687	422.5					
T	14.049853750	120.781508033	416.0					
T	14.049721284	120.781307116	404.1					
T	14.049624781	120.781194307	396.3					
T	14.049591165	120.781136604	393.2					
T	14.049463388	120.780996447	383.2					
T	14.049369296	120.780914046	376.4					
T	14.049212650	120.780776863	365.1					
T	14.049114377	120.780634406	358.9					
T	14.049020573	120.780552281	356.7					
T	14.048955888	120.780467471	354.8					
T	14.048833200	120.780388236	353.1					
T	14.048686055	120.780371984	352.8					
T	14.048541303	120.780385794	352.9					
T	14.048458923	120.780454127	353.5					
T	14.048349920	120.780555152	354.1					
T	14.048269885	120.780653347	357.4					
T	14.048220937	120.780778746	360.3					
T	14.048145380	120.780936736	364.5					
T	14.048067702	120.781064629	368.6					
T	14.048021046	120.781219733	371.6					
T	14.047943473	120.781347422	375.7					
T	14.047790699	120.781632401	384.2					
T	14.047772891	120.781784558	386.0					
T	14.047677741	120.782063871	391.0					
T	14.047626939	120.782158575	392.8					
T	14.047606992	120.782280626	393.6					
T	14.047560584	120.782434989	394.9					
T	14.047545008	120.782616700	394.8					
T	14.047456640	120.782984746	395.6					
T	14.047412493	120.783168617	396.4					
T	14.047427717	120.783377567	395.1					
T	14.047412174	120.783558974	397.5					
T	14.047425222	120.783738050	398.9					
T	14.047438269	120.783917125	400.6					
T	14.047446967	120.784036509	401.8					
T	14.047457840	120.784185739	403.8					
T	14.047470887	120.784364815	409.4					
T	14.047481760	120.784514044	414.2					
T	14.047492632	120.784663274	419.1					
T	14.047505679	120.784842350	424.8					
T	14.047578123	120.785047069	430.8					
T	14.047621973	120.785253974	438.2					
T	14.047637200	120.785462983	446.2					
T	14.047714062	120.785727690	454.8					
T	14.047790965	120.785992543	462.7					
T	14.047865734	120.786227659	469.5					
T	14.047938366	120.786433013	475.5					
T	14.047980141	120.786610472	481.3					
T	14.048019750	120.786758080	485.4					
T	14.048061548	120.786935632	490.1					
T	14.048101179	120.787083325	494.1					
T	14.048176114	120.787319002	500.9					
T	14.048184832	120.787438667	504.7					
T	14.048259811	120.787674507	511.3					
T	14.048332651	120.787880544	517.4					
T	14.048347914	120.788090074	523.5					
T	14.048394164	120.788327880	530.2					
T	14.048413790	120.788597313	541.9					
T	14.048433416	120.788866746	553.8					
T	14.048453042	120.789136179	565.8					
T	14.048468307	120.789345739	576.0					
T	14.048483571	120.789555299	586.5					
T	14.048498835	120.789764859	597.1					
T	14.048511919	120.789944483	606.2					
T	14.048496178	120.790125514	609.7					
T	14.048507079	120.790275180	610.8					
T	14.048515800	120.790394913	611.7					
T	14.048497880	120.790545929	612.4					
T	14.048510960	120.790725505	613.8					
T	14.048526219	120.790935009	612.7					
T	14.048543658	120.791174444	608.1					
T	14.048530095	120.791385183	603.4					
T	14.048547532	120.791624585	598.7					
T	14.048564968	120.791863989	591.0					
T	14.048584584	120.792133318	581.4					
T	14.048597660	120.792312871	574.9					
T	14.048646110	120.792581133	565.0					
T	14.048661368	120.792790642	557.4					
T	14.048672267	120.792940291	552.0					
T	14.048687525	120.793149801	544.4					
T	14.048702783	120.793359311	537.1					
T	14.048691376	120.793599681	530.9					
T	14.048704452	120.793779237	526.3					
T	14.048721887	120.794018646	520.2					
T	14.048739322	120.794258057	515.3					
T	14.048725732	120.794468350	512.5					
T	14.048712146	120.794678586	509.8					
T	14.048674094	120.794949335	506.4					
T	14.048633885	120.795190034	505.7					
T	14.048598052	120.795490389	505.7					
T	14.048588848	120.795760065	505.6					
T	14.048541671	120.796299752	497.0					
T	14.048525954	120.796479550	493.7					
T	14.048450562	120.796630450	491.6					
T	14.048319977	120.796812043	493.8					
T	14.048273440	120.796962177	496.0					
T	14.048229101	120.797142053	498.3					
T	14.048120961	120.797233233	500.3					
T	14.048010771	120.797294520	501.9					
T	14.047839210	120.797297023	503.5					
T	14.047751369	120.797268518	504.2					
T	14.047571574	120.797152117	505.8					
T	14.047359303	120.796976953	508.5					
T	14.047239113	120.796889731	510.4					
T	14.047025319	120.796685425	514.0					
T	14.046931660	120.796568340	515.6					
T	14.046751041	120.796423320	518.4					
T	14.046688026	120.796335549	519.3					
T	14.046538179	120.796219907	521.0					
T	14.046444922	120.796103267	522.1					
T	14.046379923	120.795986131	522.8					
T	14.046286795	120.795869667	524.0					
T	14.046219732	120.795723123	525.0					
T	14.046152705	120.795576658	526.1					
T	14.046020910	120.795313496	528.1					
T	14.046012310	120.795195384	528.4					
T	14.045884960	120.794991598	530.4					
T	14.045874217	120.794844040	531.2					
T	14.045861324	120.794666970	532.1					
T	14.045818232	120.794461187	533.9					
T	14.045801045	120.794225127	535.4					
T	14.045786005	120.794018575	536.0					
T	14.045770966	120.793812024	536.2					
T	14.045753777	120.793575966	536.4					
T	14.045740886	120.793398923	536.5					
T	14.045727994	120.793221880	536.4					
T	14.045715103	120.793044838	536.2					
T	14.045728097	120.792837270	535.6					
T	14.045745393	120.792688675	535.0					
T	14.045788599	120.792509457	533.8					
T	14.045797309	120.792242651	536.0					
T	14.045866475	120.792032575	537.7					
T	14.045877351	120.791795104	540.1					
T	14.045940129	120.791496068	545.0					
T	14.045976986	120.791227596	550.3					
T	14.046042001	120.790957700	555.7					
T	14.046078910	120.790688900	558.3					
T	14.046150632	120.790121264	559.6					
T	14.046187599	120.789852018	553.6					
T	14.046224587	120.789582625	541.8					
T	14.046259436	120.789283464	528.4					
T	14.046355097	120.789040318	518.6					
T	14.046394329	120.788800058	509.3					
T	14.046440254	120.788261471	489.6					
T	14.046420810	120.787994541	483.6					
T	14.046399206	120.787697953	476.7					
T	14.046379762	120.787431024	471.0					
T	14.046392908	120.787221622	468.8					
T	14.046403897	120.786982496	466.2					
T	14.046412728	120.786713633	463.3					
T	14.046447691	120.786413120	458.5					
T	14.046452206	120.786084705	451.7					
T	14.046461047	120.785815574	446.0					
T	14.046465563	120.785486988	436.6					
T	14.046389494	120.785223902	429.2					
T	14.046372194	120.784986440	423.5					
T	14.046326609	120.784751108	423.9					
T	14.046311473	120.784543357	424.1					
T	14.046298499	120.784365284	424.6					
T	14.046281200	120.784127855	426.4					
T	14.046266064	120.783920104	431.7					
T	14.046250927	120.783712353	437.0					
T	14.046235790	120.783504602	442.4					
T	14.046218490	120.783267172	448.5					
T	14.046203353	120.783059421	453.4					
T	14.046190378	120.782881349	457.5					
T	14.046175240	120.782673598	462.2					
T	14.046153615	120.782376810	465.4					
T	14.046142802	120.782228417	464.4					
T	14.046131989	120.782080023	463.5					
T	14.046121176	120.781931629	462.5					
T	14.046110362	120.781783235	461.5					
T	14.046066979	120.781578048	461.6					
T	14.045995379	120.781375507	462.9					
T	14.045980246	120.781167840	461.3					
T	14.045969437	120.781019507	460.2					
T	14.045928251	120.780844170	460.0					
T	14.045884915	120.780639222	460.3					
T	14.045813403	120.780437048	460.5					
T	14.045746251	120.780294269	458.6					
T	14.045664017	120.779944126	455.3					
T	14.045625077	120.779798757	454.6					
T	14.045579669	120.779564548	453.6					
T	14.045452110	120.779368606	451.3					
T	14.045331161	120.779261660	449.0					
T	14.045130589	120.779222614	445.5					
T	14.045012149	120.779145457	442.6					
T	14.044840109	120.779103694	437.6					
T	14.044698391	120.779088613	433.9					
T	14.044586873	120.779100155	431.5					
T	14.044447647	120.779114565	428.6					
T	14.044364202	120.779123202	426.8					
T	14.044199660	120.779169887	423.8					
T	14.044092972	120.779240192	419.4					
T	14.043933158	120.779345507	412.1					
T	14.043856559	120.779442174	407.9					
T	14.043782164	120.779568132	403.2					
T	14.043763086	120.779688405	400.7					
T	14.043718527	120.779840778	396.6					
T	14.043731365	120.780016926	394.6					
T	14.043691104	120.780227870	392.1					
T	14.043678467	120.780436010	390.6					
T	14.043695577	120.780670778	390.3					
T	14.043682941	120.780878830	388.4					
T	14.043702186	120.781142909	385.5					
T	14.043693826	120.781409545	381.3					
T	14.043687606	120.781705443	378.3					
T	14.043708982	120.781998783	386.8					
T	14.043730358	120.782292124	395.1					
T	14.043720044	120.782912846	413.2					
T	14.043743549	120.783235433	424.2					
T	14.043769191	120.783587346	433.5					
T	14.043769369	120.783970796	441.8					
T	14.043795006	120.784322661	449.8					
T	14.043827051	120.784762493	459.1					
T	14.043886707	120.785200282	468.6					
T	14.043939968	120.785550198	475.5					
T	14.043988968	120.785841541	480.7					
T	14.044033707	120.786074287	483.8					
T	14.044078458	120.786307096	487.2					
T	14.044121083	120.786510622	490.7					
T	14.044223362	120.786769236	491.7					
T	14.044300150	120.787059225	489.1					
T	14.044374840	120.787319997	487.0					
T	14.044421830	120.787582637	487.3					
T	14.044496583	120.787843658	489.9					
T	14.044541467	120.788077086	493.4					
T	14.044552170	120.788224036	496.1					
T	14.044562874	120.788370986	499.3					
T	14.044569296	120.788459156	502.1					
T	14.044582140	120.788635496	507.6					
T	14.044599265	120.788870616	515.0					
T	14.044609968	120.789017567	519.5					
T	14.044618531	120.789135127	523.2					
T	14.044642077	120.789458419	535.7					
T	14.044654921	120.789634760	542.7					
T	14.044667764	120.789811102	549.6					
T	14.044712675	120.790044831	556.8					
T	14.044755456	120.790249225	556.5					
T	14.044796108	120.790424274	556.4					
