type	latitude	longitude	altitude (m)	color	opacity	name	desc	kml_folder
T	14.057394562	120.787316553	485.4					
T	14.057369176	120.787447400	490.9					
T	14.057369176	120.787578248	497.1					
T	14.057369177	120.787709095	504.5					
T	14.057369177	120.787892282	514.9					
T	14.057369177	120.788101638	526.8					
T	14.057394564	120.788232486	533.7					
T	14.057394564	120.788415673	540.5					
T	14.057445336	120.788572690	541.7					
T	14.057445336	120.788703538	543.2					
T	14.057445337	120.788834386	544.8					
T	14.057445337	120.789017573	547.0					
T	14.057419950	120.789148421	548.9					
T	14.057419950	120.789279269	543.7					
T	14.057419950	120.789410117	537.3					
T	14.057419950	120.789540965	530.9					
T	14.057419950	120.789697983	523.2					
T	14.057419950	120.789855001	515.6					
T	14.057419950	120.789985850	509.2					
T	14.057419949	120.790116699	503.6					
T	14.057394563	120.790195207	500.5					
T	14.057343790	120.790352225	494.4					
T	14.057318404	120.790456903	490.3					
T	14.057267631	120.790561581	486.4					
T	14.057216858	120.790666259	482.5					
T	14.057166086	120.790770936	478.7					
T	14.057140699	120.790901785	474.3					
T	14.057115312	120.791032633	470.5					
T	14.057089926	120.791137312	467.6					
T	14.056988381	120.791215818	466.5					
T	14.056937608	120.791320496	464.0					
T	14.056836063	120.791372833	463.8					
T	14.056709132	120.791372829	465.5					
T	14.056607587	120.791398996	465.6					
T	14.056480657	120.791398992	466.0					
T	14.056379112	120.791398990	466.3					
T	14.056277568	120.791294308	469.3					
T	14.056277569	120.791215799	471.3					
T	14.056252184	120.791084950	474.7					
T	14.056226799	120.790901762	479.3					
T	14.056226799	120.790823252	481.4					
T	14.056176028	120.790718573	485.5					
T	14.056176028	120.790587725	490.6					
T	14.056176029	120.790456877	495.7					
T	14.056150643	120.790326029	500.9					
T	14.056150644	120.790169012	507.0					
T	14.056150645	120.790038164	512.1					
T	14.056150645	120.789802639	524.0					
T	14.056150646	120.789724131	528.2					
T	14.056150646	120.789593284	535.0					
T	14.056125260	120.789540944	537.8					
T	14.056099875	120.789383928	545.9					
T	14.056049103	120.789226910	553.9					
T	14.055998332	120.789069894	554.4					
T	14.055998332	120.788939047	551.2					
T	14.055998332	120.788782031	547.4					
T	14.055972946	120.788651184	543.8					
T	14.055972946	120.788389491	537.3					
T	14.055972946	120.788284814	534.2					
T	14.055972946	120.788075460	527.2					
T	14.055972946	120.787892275	521.1					
T	14.055972946	120.787813767	518.5					
T	14.055972946	120.787578244	510.6					
T	14.055947560	120.787395059	503.7					
T	14.055947559	120.787211874	496.9					
T	14.055947559	120.787054859	491.1					
T	14.055896787	120.786924013	485.8					
T	14.055846015	120.786793167	480.6					
T	14.055846014	120.786636152	475.2					
T	14.055846014	120.786505306	471.6					
T	14.055846013	120.786322121	466.5					
T	14.055846012	120.786112768	460.7					
T	14.055846011	120.785955752	456.3					
T	14.055846010	120.785798737	453.7					
T	14.055846010	120.785694060	456.2					
T	14.055846009	120.785537045	459.9					
T	14.055820622	120.785380030	464.4					
T	14.055795235	120.785196846	469.9					
T	14.055795233	120.785013661	474.3					
T	14.055795232	120.784882815	477.1					
T	14.055769846	120.784751969	480.8					
T	14.055744459	120.784594954	484.8					
T	14.055719071	120.784359431	490.0					
T	14.055668298	120.784228585	493.3					
T	14.055617525	120.784150078	494.8					
T	14.055566753	120.784071571	493.7					
T	14.055465208	120.783940727	491.4					
T	14.055363664	120.783862221	489.8					
T	14.055262120	120.783862223	490.2					
T	14.055135192	120.783914564	492.6					
T	14.055033649	120.783993074	496.4					
T	14.054957493	120.784071583	499.2					
T	14.054855951	120.784202430	501.6					
T	14.054830567	120.784359446	502.8					
T	14.054779797	120.784516461	504.0					
T	14.054729027	120.784647308	505.4					
T	14.054703642	120.784804323	507.6					
T	14.054652873	120.785013676	510.8					
T	14.054652874	120.785223028	509.4					
T	14.054652876	120.785406212	508.2					
T	14.054652877	120.785589395	507.0					
T	14.054627492	120.785798747	506.9					
T	14.054627493	120.785955762	506.8					
T	14.054627494	120.786191283	507.0					
T	14.054652881	120.786348297	506.0					
T	14.054652881	120.786426804	506.1					
T	14.054678267	120.786531480	505.1					
T	14.054703654	120.786740832	504.1					
T	14.054729040	120.786924015	503.1					
T	14.054729040	120.787081029	503.1					
T	14.054729041	120.787238043	503.2					
T	14.054729041	120.787395058	503.2					
T	14.054754427	120.787499734	502.8					
T	14.054754427	120.787630579	506.5					
T	14.054754427	120.787813763	511.6					
T	14.054779813	120.787970777	515.7					
T	14.054805199	120.788127792	519.8					
T	14.054805198	120.788284806	524.2					
T	14.054830584	120.788441821	529.9					
T	14.054855969	120.788651174	538.6					
T	14.054855969	120.788755851	543.1					
T	14.054855969	120.788860527	547.6					
T	14.054906740	120.788991374	552.6					
T	14.054932126	120.789069881	555.6					
T	14.054957510	120.789305404	556.4					
T	14.054957510	120.789462420	553.0					
T	14.054957509	120.789619435	549.5					
T	14.054957508	120.789802620	545.5					
T	14.054957507	120.790011974	540.6					
T	14.054957506	120.790168990	533.7					
T	14.054982891	120.790273668	528.9					
T	14.055033662	120.790378346	523.2					
T	14.055059048	120.790509194	516.7					
T	14.055084433	120.790587702	512.5					
T	14.055084431	120.790797057	503.3					
T	14.055084430	120.790927905	499.1					
T	14.055109815	120.791084922	494.2					
T	14.055109814	120.791189600	491.4					
T	14.055109813	120.791320448	487.8					
T	14.055109812	120.791451295	484.3					
T	14.055109809	120.791686821	477.9					
T	14.055135194	120.791791500	474.3					
T	14.055135193	120.791870009	472.0					
T	14.055160578	120.791974689	468.4					
T	14.055160576	120.792157877	463.1					
T	14.055211346	120.792367236	456.5					
T	14.055236730	120.792524256	453.0					
T	14.055236729	120.792628934	455.6					
T	14.055211342	120.792681273	457.2					
T	14.055084411	120.792759779	460.4					
T	14.054982866	120.792812115	462.7					
T	14.054881322	120.792864451	464.9					
T	14.054754392	120.792864447	466.1					
T	14.054627462	120.792864443	467.4					
T	14.054500532	120.792864439	468.6					
T	14.054322831	120.792864433	470.4					
T	14.054195902	120.792812090	471.4					
T	14.054119745	120.792759749	472.5					
T	14.053967430	120.792707405	475.7					
T	14.053865888	120.792628893	478.2					
T	14.053764345	120.792576551	481.0					
T	14.053688189	120.792498040	483.7					
T	14.053586647	120.792419529	488.6					
T	14.053510491	120.792341019	492.9					
T	14.053434335	120.792236339	498.2					
T	14.053358179	120.792105489	504.5					
T	14.053332795	120.792000811	508.6					
T	14.053332797	120.791896134	511.8					
T	14.053332799	120.791765287	515.9					
T	14.053332801	120.791582102	520.3					
T	14.053307418	120.791398916	523.4					
T	14.053307420	120.791215731	526.3					
T	14.053256651	120.791084884	529.1					
T	14.053256652	120.790980207	530.8					
T	14.053256653	120.790875530	532.6					
T	14.053256655	120.790718515	537.3					
T	14.053256656	120.790613838	540.9					
T	14.053307430	120.790404486	547.3					
T	14.053307431	120.790221303	553.7					
T	14.053307432	120.790116626	557.3					
T	14.053231277	120.789933442	563.6					
T	14.053180507	120.789724089	568.0					
T	14.053180508	120.789619413	569.9					
T	14.053180509	120.789514737	571.7					
T	14.053129738	120.789357723	575.1					
T	14.053104354	120.789174540	578.6					
T	14.053104354	120.789122202	577.4					
T	14.053053584	120.788965188	573.6					
T	14.053053585	120.788782006	568.5					
T	14.053053585	120.788651161	564.7					
T	14.053053586	120.788467979	559.6					
T	14.053053586	120.788337135	555.8					
T	14.053053587	120.788075446	556.7					
T	14.053053587	120.787944602	557.1					
T	14.053053587	120.787761420	557.8					
T	14.053053587	120.787630576	558.3					
T	14.053028202	120.787499732	559.7					
T	14.053028202	120.787368888	558.9					
T	14.053002816	120.787264213	559.1					
T	14.053002816	120.787081031	557.8					
T	14.053002815	120.786924018	556.7					
T	14.053028201	120.786793174	555.6					
T	14.053028200	120.786662330	554.7					
T	14.053078971	120.786531486	551.4					
T	14.053104356	120.786452980	549.3					
T	14.053129741	120.786348304	546.7					
T	14.053129741	120.786217460	543.6					
T	14.053180511	120.786086616	539.9					
T	14.053205896	120.785903434	535.2					
T	14.053256666	120.785720252	529.6					
T	14.053307436	120.785537070	523.3					
T	14.053307434	120.785353888	517.7					
T	14.053383591	120.785249211	514.1					
T	14.053408974	120.785013691	507.2					
T	14.053434358	120.784830508	502.5					
T	14.053434356	120.784673495	498.2					
T	14.053383584	120.784542651	494.3					
T	14.053332811	120.784411807	490.5					
T	14.053231267	120.784280964	491.8					
T	14.053180493	120.784071614	490.5					
T	14.053180492	120.783966938	489.4					
T	14.053180490	120.783809924	487.7					
T	14.053180487	120.783626741	485.7					
T	14.053180486	120.783548234	484.8					
T	14.053129712	120.783391221	485.6					
T	14.053078939	120.783260377	486.8					
T	14.053078936	120.783103363	485.4					
T	14.053053548	120.782972519	485.3					
T	14.053028159	120.782763167	484.3					
T	14.053002770	120.782579984	483.3					
T	14.052977382	120.782449139	482.8					
T	14.052951994	120.782344463	482.4					
T	14.052901221	120.782265957	482.8					
T	14.052799676	120.782135114	483.5					
T	14.052698131	120.782056609	484.5					
T	14.052621973	120.782004272	485.0					
T	14.052495044	120.781978106	486.7					
T	14.052418886	120.781925770	483.1					
T	14.052317341	120.781873434	478.7					
T	14.052190413	120.781873437	474.9					
T	14.052088870	120.781873440	471.9					
T	14.052012713	120.781873442	469.6					
T	14.051835013	120.781873446	464.3					
T	14.051733471	120.781925787	462.3					
T	14.051631929	120.781951958	460.0					
T	14.051555774	120.782056636	460.7					
T	14.051555777	120.782187481	463.5					
T	14.051479622	120.782265989	463.9					
T	14.051454239	120.782396834	466.5					
T	14.051454242	120.782553848	471.2					
T	14.051454244	120.782658524	475.5					
T	14.051428861	120.782789369	480.5					
T	14.051428865	120.782946382	487.0					
T	14.051403482	120.783103396	492.9					
T	14.051378100	120.783312747	500.9					
T	14.051378104	120.783548266	505.7					
T	14.051378108	120.783757616	509.6					
T	14.051378111	120.783966966	513.5					
T	14.051378114	120.784176315	517.3					
T	14.051378117	120.784359496	519.3					
T	14.051378120	120.784568846	521.6					
T	14.051378122	120.784804364	524.2					
T	14.051378125	120.785066050	527.0					
T	14.051378128	120.785301568	528.9					
T	14.051352744	120.785510917	529.3					
T	14.051327360	120.785667929	529.3					
T	14.051327361	120.785824941	530.6					
T	14.051327362	120.785981953	528.6					
T	14.051352748	120.786138964	527.6					
T	14.051378135	120.786322144	526.1					
T	14.051403521	120.786531493	524.3					
T	14.051454293	120.786767010	526.5					
T	14.051454294	120.786950191	529.9					
T	14.051454294	120.787133371	533.4					
T	14.051454294	120.787342720	537.3					
T	14.051454294	120.787525900	541.3					
T	14.051454294	120.787709081	548.6					
T	14.051454294	120.787892261	556.0					
T	14.051454293	120.788049273	562.2					
T	14.051454293	120.788127779	565.3					
T	14.051454292	120.788363297	574.3					
T	14.051454291	120.788520309	578.3					
T	14.051454291	120.788677322	582.2					
T	14.051454289	120.788912840	588.2					
T	14.051454287	120.789148358	594.1					
T	14.051454286	120.789357708	590.8					
T	14.051454283	120.789593228	586.1					
T	14.051479666	120.789854916	581.1					
T	14.051530435	120.790090436	574.8					
T	14.051555819	120.790221281	569.8					
T	14.051555817	120.790404463	562.6					
T	14.051606586	120.790561477	556.3					
T	14.051657356	120.790692322	550.8					
T	14.051657354	120.790823167	545.5					
T	14.051682738	120.790954012	541.5					
T	14.051708121	120.791084858	537.8					
T	14.051708120	120.791189534	534.8					
T	14.051758888	120.791346549	530.4					
T	14.051809656	120.791555903	524.5					
T	14.051835038	120.791765257	519.4					
T	14.051885807	120.791896104	516.7					
T	14.051885805	120.792026950	513.9					
T	14.051961958	120.792236305	508.7					
T	14.051987340	120.792445660	503.6					
T	14.052012719	120.792733524	498.7					
T	14.052063485	120.792995220	494.0					
T	14.052088867	120.793152237	491.1					
T	14.052114248	120.793361595	488.0					
T	14.052114245	120.793466273	488.8					
T	14.052088857	120.793570950	490.0					
T	14.051987311	120.793649457	491.8					
T	14.051860380	120.793701793	493.3					
T	14.051733447	120.793832638	494.0					
T	14.051581129	120.793911143	494.7					
T	14.051479583	120.793989649	495.0					
T	14.051403425	120.794015817	495.4					
T	14.051301880	120.794041983	495.9					
T	14.051200335	120.794094321	495.9					
T	14.051073403	120.794146657	495.9					
T	14.050971859	120.794172824	496.2					
T	14.050870315	120.794172821	496.8					
T	14.050717998	120.794198988	500.1					
T	14.050616454	120.794198985	502.5					
T	14.050464138	120.794198982	506.2					
T	14.050311823	120.794146639	510.6					
T	14.050184894	120.794120467	514.5					
T	14.050108737	120.794094295	517.0					
T	14.049981810	120.794015784	521.8					
