type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.002176814	120.816461768	257.9						
T	14.002583286	120.817492851	257.0						
T	14.002588607	120.818526157	262.2						
T	14.002992942	120.819143920	268.9						
T	14.003398334	120.819968346	249.6						
T	14.004004286	120.820791664	245.1						
T	14.004010638	120.822031639	269.5						
T	14.004016978	120.823271618	280.2						
T	14.004022252	120.824304937	294.1						
T	14.004223874	120.824510490	298.0						
T	14.004432866	120.826162698	316.5						
T	14.004637634	120.826988250	312.9						
T	14.004641830	120.827814915	308.3						
T	14.004848681	120.829053805	320.4						
T	14.005254004	120.829878256	327.6						
T	14.005260268	120.831118266	327.6						
T	14.005465004	120.831943834	326.7						
T	14.006069832	120.832560516	323.4						
T	14.006877303	120.833589434	325.0						
T	14.007084098	120.834828355	333.4						
T	14.007489378	120.835652830	338.7						
T	14.008094179	120.836269526	341.0						
T	14.008298880	120.837095114	342.9						
T	14.008904710	120.837918493	348.7						
T	14.009509494	120.838535198	350.3						
T	14.010113241	120.838945231	352.0						
T	14.010917540	120.839354156	353.1						
T	14.011521276	120.839764193	351.3						
T	14.012525091	120.839965341	353.5						
T	14.013327307	120.839960918	354.6						
T	14.014129521	120.839956496	369.5						
T	14.015332825	120.839949865	373.3						
T	14.015932406	120.839533193	379.5						
T	14.016730462	120.838702060	391.3						
T	14.017530570	120.838284288	399.1						
T	14.018331707	120.838073192	413.1						
T	14.019333384	120.837860995	427.7						
T	14.019935005	120.837857684	428.8						
T	14.020737162	120.837853271	406.4						
T	14.021741923	120.838261113	359.6						
T	14.022547179	120.838876740	377.9						
T	14.023351392	120.839285691	373.3						
T	14.024157672	120.840108010	373.0						
T	14.024562877	120.840932535	382.9						
T	14.025168611	120.841755968	376.1						
T	14.025574842	120.842787192	389.2						
T	14.025779503	120.843612835	403.2						
T	14.026184689	120.844437387	432.7						
T	14.026589871	120.845261942	460.3						
T	14.027194554	120.845878718	468.1						
T	14.027600756	120.846909975	481.8						
T	14.028206456	120.847733454	481.8						
