type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.022610626	120.774393459	161.2						
T	14.022009010	120.774396823	160.7						
T	14.021006315	120.774402428	162.9						
T	14.020006993	120.775028088	165.0						
T	14.019408750	120.775651502	163.7						
T	14.019012173	120.776480475	165.7						
T	14.018817256	120.777515007	168.5						
T	14.018821753	120.778341734	173.8						
T	14.018626824	120.779376254	175.6						
T	14.018236947	120.781445273	183.3						
T	14.018044228	120.782893126	180.4						
T	14.018047579	120.783513152	182.2						
T	14.018254816	120.784752081	183.8						
T	14.018259271	120.785578776	187.2						
T	14.018664802	120.786403235	192.3						
T	14.018867565	120.786815461	193.7						
T	14.020080782	120.788668806	207.0						
T	14.020487393	120.789699927	225.0						
T	14.021498908	120.791347702	250.6						
T	14.022107125	120.792584368	252.9						
T	14.022913657	120.793406579	273.7						
T	14.023120787	120.794645471	312.3						
T	14.024333839	120.796498785	382.5						
T	14.025749564	120.798764315	406.7						
T	14.026153892	120.799382087	390.8						
T	14.026959263	120.799997628	389.3						
T	14.027565192	120.800820951	379.6						
T	14.029380760	120.802877591	491.1						
T	14.030390954	120.804318690	516.4						
T	14.031402210	120.805966460	451.5						
T	14.032413438	120.807614234	494.9						
T	14.033020380	120.808644235	545.4						
T	14.034634186	120.810495355	548.8						
T	14.035439461	120.811110918	540.5						
T	14.036045294	120.811934262	546.4						
T	14.036650047	120.812550940	583.5						
T	14.037454232	120.812959841	584.1						
T	14.038258413	120.813368744	551.3						
T	14.040272058	120.815011024	490.5						
T	14.041279940	120.816038844	496.0						
T	14.041885733	120.816862212	500.7						
T	14.042891459	120.817476698	516.8						
T	14.044098750	120.818296757	509.1						
T	14.045506533	120.819115718	495.1						
T	14.046512238	120.819730222	494.2						
T	14.047720570	120.820756982	511.4						
T	14.048122635	120.820961451	496.1						
T	14.048727329	120.821578176	476.5						
T	14.049332019	120.822194904	466.0						
T	14.050338769	120.823016112	496.3						
T	14.051145014	120.823838429	517.1						
T	14.052151754	120.824659652	521.0						
T	14.053562667	120.826098738	531.7						
T	14.054369957	120.827127768	548.3						
T	14.054974628	120.827744533	578.9						
T	14.055377740	120.828155712	597.7						
T	14.056587074	120.829389260	613.4						
T	14.057393292	120.830211636	626.5						
T	14.057796401	120.830622827	617.9						
T	14.058804169	120.831650815	606.8						
T	14.059409884	120.832474307	580.6						
T	14.060013486	120.832884417	559.3						
T	14.061022302	120.834119132	552.0						
T	14.061427515	120.834943740	580.1						
T	14.061632229	120.835769443	601.3						
T	14.061634337	120.836182841	602.3						
T	14.061841152	120.837421952	594.5						
T	14.061845360	120.838248758	588.9						
T	14.061650119	120.839283357	589.6						
T	14.061253323	120.840112341	605.1						
T	14.060857572	120.841148032	621.9						
T	14.060058720	120.841772487	627.9						
T	14.059258816	120.842190239	625.3						
T	14.058457863	120.842401287	626.6						
T	14.057656907	120.842612333	622.1						
T	14.057055405	120.842615592	619.3						
T	14.055850309	120.842208706	620.9						
T	14.054643118	120.841388430	620.3						
T	14.053839021	120.840979385	605.5						
T	14.053033875	120.840363649	592.2						
T	14.051825632	120.839336708	583.8						
T	14.050417928	120.838517569	561.6						
T	14.049410176	120.837489569	491.4						
T	14.048805523	120.836872776	497.9						
T	14.047597259	120.835845892	487.1						
T	14.046792097	120.835230208	509.1						
T	14.045784325	120.834202254	553.4						
T	14.044570785	120.832141993	542.0						
T	14.043964005	120.831111875	512.9						
T	14.042955155	120.829877281	439.2						
T	14.042148913	120.829054963	403.6						
T	14.041542116	120.828024871	433.7						
T	14.041138988	120.827613718	444.2						
T	14.040733747	120.826789211	462.9						
T	14.039927485	120.825966914	463.2						
T	14.039722742	120.825141315	451.4						
T	14.038915410	120.824112355	451.7						
T	14.038308580	120.823082297	412.4						
T	14.037701742	120.822052246	445.7						
T	14.037094897	120.821022201	463.6						
T	14.036489110	120.820198832	429.2						
T	14.035884380	120.819582138	412.2						
T	14.034875426	120.818347651	425.5						
T	14.034469062	120.817316519	435.8						
T	14.034266415	120.816904289	434.9						
T	14.033657386	120.815460934	442.5						
T	14.033049418	120.814224252	467.8						
T	14.032445731	120.813814244	477.4						
T	14.031839893	120.812990904	474.2						
T	14.030425528	120.810932009	474.0						
T	14.029418629	120.810110898	419.2						
T	14.028813838	120.809494234	395.9						
T	14.028008520	120.808878682	381.7						
T	14.027403718	120.808262021	396.3						
T	14.025995734	120.807443143	363.5						
T	14.024989864	120.806828709	388.7						
T	14.023783456	120.806215388	357.9						
T	14.022374335	120.805189854	325.6						
T	14.022171635	120.804777639	317.5						
T	14.020965188	120.804164323	301.9						
T	14.019958172	120.803343232	281.1						
T	14.019353304	120.802726581	263.1						
T	14.018548980	120.802317705	260.7						
T	14.017139763	120.801292178	252.3						
T	14.016133782	120.800677754	240.1						
T	14.015128881	120.800269991	242.0						
T	14.014122874	120.799655566	230.3						
T	14.013319594	120.799453354	236.1						
T	14.012314658	120.799045591	242.9						
T	14.011310804	120.798844490	228.5						
T	14.010709145	120.798847828	205.3						
T	14.009906928	120.798852277	174.9						
T	14.008301371	120.798654513	230.3						
T	14.007501317	120.799072285	236.2						
T	14.007305135	120.799900045	242.8						
T	14.007311691	120.801140016	243.2						
T	14.007316055	120.801966662	247.2						
T	14.007721537	120.802791083	253.1						
T	14.008127006	120.803615504	257.7						
T	14.009942884	120.805672109	266.9						
T	14.010551047	120.806908739	250.5						
T	14.011968951	120.809587550	237.7						
T	14.012376515	120.810825294	266.4						
T	14.012982464	120.811648606	254.2						
T	14.013793247	120.813297453	269.8						
T	14.014600787	120.814326320	264.0						
T	14.015204562	120.814736314	246.9						
T	14.016008872	120.815145199	237.8						
T	14.017821224	120.816581851	290.4						
T	14.018626577	120.817197404	294.7						
T	14.019231390	120.817814067	319.7						
T	14.020037792	120.818636287	332.1						
T	14.021046849	120.819870733	336.8						
T	14.021451103	120.820488512	342.5						
T	14.022458011	120.821309636	352.6						
T	14.023470206	120.823164099	338.4						
T	14.024478141	120.824191904	322.2						
T	14.025083953	120.825015259	315.6						
T	14.025891341	120.826044181	314.8						
T	14.027305560	120.828103153	315.4						
T	14.028113969	120.829338770	387.5						
T	14.029728654	120.831396683	397.5						
T	14.030537031	120.832632328	415.2						
T	14.032150613	120.834483619	468.3						
T	14.033157387	120.835304835	488.3						
T	14.033962592	120.835920478	495.7						
T	14.035975063	120.837356270	486.0						
T	14.037786995	120.838793189	444.1						
T	14.039395269	120.839611167	449.7						
T	14.039797333	120.839815666	458.6						
T	14.041204038	120.840428070	467.2						
T	14.042410223	120.841041578	474.8						
T	14.043820036	120.842274081	484.0						
T	14.044826741	120.843095401	493.6						
T	14.045630854	120.843504426	497.0						
T	14.047040645	120.844736983	530.0						
T	14.047645283	120.845353814	551.9						
T	14.048050452	120.846178438	556.9						
T	14.049262833	120.848032245	533.5						
T	14.050072116	120.849474847	562.3						
T	14.050682952	120.851331977	567.5						
T	14.050891725	120.852984590	562.4						
T	14.050493804	120.853606896	575.3						
T	14.049894336	120.854023574	567.7						
T	14.048892815	120.854235700	563.0						
T	14.047890260	120.854241113	567.4						
T	14.046286162	120.854249780	565.5						
T	14.045280512	120.853635062	536.5						
T	14.044877428	120.853223812	519.7						
T	14.043671261	120.852610200	511.0						
T	14.042463028	120.851583187	482.5						
T	14.041455308	120.850555101	469.3						
T	14.040850672	120.849938259	463.2						
T	14.040042424	120.848702411	458.7						
T	14.039235202	120.847673279	476.1						
T	14.038429007	120.846850855	498.2						
T	14.037219707	120.845617240	510.5						
T	14.036412466	120.844588148	483.3						
T	14.035203144	120.843354570	463.5						
T	14.034394853	120.842118819	444.7						
T	14.033386029	120.840884178	409.1						
T	14.031969914	120.838411652	469.5						
T	14.031363145	120.837381539	466.9						
T	14.030152714	120.835941376	464.6						
T	14.029347494	120.835325742	469.0						
T	14.028540176	120.834296759	458.8						
T	14.027733895	120.833474462	449.5						
T	14.026726032	120.832446597	431.1						
T	14.025721303	120.832038764	437.1						
T	14.024912901	120.830803139	400.1						
T	14.023303413	120.829778614	416.8						
T	14.022094969	120.828751890	400.8						
T	14.020685971	120.827726283	391.1						
T	14.019073252	120.826081787	373.7						
T	14.017063633	120.825266190	352.7						
T	14.016660442	120.824855073	348.9						
T	14.014448115	120.823627266	335.9						
T	14.013241651	120.823013923	328.9						
T	14.012036235	120.822607247	324.3						
T	14.010831860	120.822407237	316.1						
T	14.010029642	120.822411673	319.7						
T	14.009026855	120.822417220	299.8						
T	14.008224616	120.822421658	281.2						
T	14.007222871	120.822633869	264.2						
T	14.006222165	120.823052744	264.2						
T	14.006426951	120.823878290	287.2						
T	14.006833352	120.824909392	302.5						
T	14.006837563	120.825736052	317.5						
T	14.007246049	120.827180492	332.7						
T	14.007852982	120.828210497	331.0						
T	14.008657320	120.828619396	337.4						
T	14.009459561	120.828614961	346.5						
T	14.010258643	120.827990525	344.7						
T	14.010857161	120.827367199	337.5						
T	14.011853623	120.826121659	292.5						
T	14.012048907	120.825087223	311.1						
T	14.012439454	120.823018357	323.5						
T	14.012630473	120.821157274	334.2						
T	14.012625168	120.820123957	330.6						
T	14.012616663	120.818470656	317.8						
T	14.012812956	120.817642898	317.7						
T	14.013009237	120.816815140	314.6						
T	14.013598054	120.814331870	300.3						
T	14.013588404	120.812471919	248.4						
T	14.013578729	120.810611968	218.8						
T	14.013574421	120.809785324	226.7						
T	14.013966884	120.808129814	227.8						
T	14.014360408	120.806680962	209.0						
T	14.014558786	120.806266528	225.0						
T	14.015553919	120.804814338	269.0						
T	14.015951744	120.804192128	274.0						
T	14.016747392	120.802947706	267.1						
T	14.017343570	120.801911055	261.7						
T	14.017940828	120.801081064	246.9						
T	14.018536987	120.800044407	240.8						
T	14.018535895	120.799837743	243.3						
T	14.018930413	120.798595531	255.7						
T	14.019926524	120.797349972	247.8						
T	14.020521553	120.796106635	269.6						
T	14.021118764	120.795276625	293.2						
T	14.021712668	120.793826608	260.3						
T	14.021909899	120.793205489	253.0						
T	14.022703210	120.791547675	261.1						
T	14.023098751	120.790512092	302.4						
T	14.023894241	120.789267598	293.2						
T	14.024291980	120.788645348	260.5						
T	14.024888029	120.787608631	227.7						
T	14.025283544	120.786573025	219.7						
T	14.025478522	120.785538532	215.2						
T	14.026075660	120.784708470	218.2						
T	14.026669453	120.783258372	212.1						
T	14.027464875	120.782013819	203.5						
T	14.028458575	120.780354767	201.5						
T	14.028855158	120.779525793	201.7						
T	14.029251734	120.778696815	196.1						
T	14.029846591	120.777453335	181.2						
T	14.030442562	120.776416531	179.9						
T	14.031038525	120.775379717	175.0						
T	14.032037771	120.774754022	173.9						
T	14.033235290	120.773713809	180.5						
T	14.034234522	120.773088096	180.4						
T	14.035432022	120.772047856	176.6						
T	14.036230725	120.771423253	174.1						
T	14.037628726	120.770381854	183.6						
T	14.038027508	120.769966193	189.6						
T	14.039226105	120.769132605	189.9						
T	14.039626013	120.768923638	189.4						
T	14.041223380	120.767674352	173.4						
T	14.042821861	120.766631740	153.6						
T	14.043420020	120.766008208	150.6						
T	14.044420333	120.765589108	153.5						
T	14.045819414	120.764754298	161.5						
T	14.047218489	120.763919469	143.9						
T	14.047619512	120.763917189	144.6						
T	14.048620943	120.763704775	148.6						
T	14.050022264	120.763283350	149.6						
T	14.051022562	120.762864203	151.3						
T	14.052222240	120.762237183	162.9						
T	14.053621302	120.761402279	156.6						
T	14.054221703	120.761192117	151.3						
T	14.055219743	120.760359485	141.8						
T	14.056220036	120.759940288	146.9						
T	14.057220329	120.759521088	156.7						
T	14.058221747	120.759308608	163.3						
T	14.059022657	120.759097274	168.4						
T	14.059624183	120.759093821	169.9						
T	14.061026618	120.758879029	170.6						
T	14.061628143	120.758875572	170.3						
T	14.063432716	120.758865193	172.2						
T	14.064435256	120.758859422	174.4						
T	14.065040144	120.759476169	177.8						
T	14.064841879	120.759890794	178.2						
T	14.064244841	120.760721193	177.9						
T	14.063246791	120.761553884	180.4						
T	14.062247621	120.762179828	178.4						
T	14.060051020	120.763846278	161.7						
T	14.058851347	120.764473329	166.0						
T	14.056855254	120.766138542	173.1						
T	14.056057713	120.766969984	183.7						
T	14.053863348	120.769049674	188.5						
T	14.053065801	120.769881069	195.5						
T	14.052468758	120.770711318	206.8						
T	14.051670090	120.771335989	216.4						
T	14.050272138	120.772377468	231.7						
T	14.048874182	120.773418926	247.2						
T	14.048276014	120.774042429	261.4						
T	14.047077439	120.774876025	286.3						
T	14.046278758	120.775500645	315.3						
T	14.044880782	120.776542042	374.4						
T	14.043882701	120.777374466	367.5						
T	14.043483913	120.777790110	366.9						
T	14.042688559	120.779034771	362.2						
T	14.042090370	120.779658223	323.9						
T	14.040492967	120.780907367	285.6						
T	14.039895882	120.781737488	301.1						
T	14.038698366	120.782777663	333.5						
T	14.037899648	120.783402209	348.5						
T	14.037301439	120.784025627	369.2						
T	14.036502713	120.784650164	361.8						
T	14.035503470	120.785275820	314.6						
T	14.034906355	120.786105901	273.6						
T	14.033114986	120.788596116	335.0						
T	14.032318438	120.789633971	393.0						
T	14.031125254	120.791500746	370.2						
T	14.030528101	120.792330789	360.0						
T	14.029136552	120.794611988	379.7						
T	14.028339952	120.795649801	432.7						
T	14.027547721	120.797514279	458.2						
T	14.026951620	120.798550961	416.6						
T	14.026158257	120.800208752	371.9						
T	14.025165435	120.802074311	358.8						
T	14.024573640	120.803937633	376.3						
T	14.023977484	120.804974292	381.3						
T	14.022786223	120.807254265	320.4						
T	14.022391644	120.808496468	301.4						
T	14.022197584	120.809737558	316.0						
T	14.021802985	120.810979757	320.4						
T	14.021407296	120.812015293	315.8						
T	14.020413219	120.813674147	288.5						
T	14.020219111	120.814915235	311.4						
T	14.019224988	120.816574086	294.1						
T	14.018628710	120.817610730	298.9						
T	14.018232960	120.818646265	293.0						
T	14.017638788	120.820096237	262.4						
T	14.016845118	120.821753986	325.5						
T	14.016249845	120.822997298	358.0						
T	14.016054584	120.824031733	349.1						
T	14.015657724	120.824860611	348.5						
T	14.014862916	120.826311706	349.4						
T	14.014266535	120.827348364	306.2						
T	14.014072290	120.828589478	334.6						
T	14.013876985	120.829623926	364.9						
T	14.013680619	120.830451710	363.9						
T	14.013685847	120.831485059	369.5						
T	14.013690023	120.832311743	376.8						
T	14.013695236	120.833345098	379.3						
T	14.013700442	120.834378460	375.7						
T	14.013705639	120.835411827	383.9						
T	14.013710829	120.836445200	384.8						
T	14.014313518	120.836648558	391.5						
T	14.015313153	120.836023002	400.2						
T	14.016112223	120.835398557	407.4						
T	14.017311337	120.834565229	403.5						
T	14.018109338	120.833734113	380.7						
T	14.018707832	120.833110779	342.3						
T	14.019903756	120.831657441	388.0						
T	14.021901783	120.830199691	418.0						
T	14.023095526	120.828333024	397.3						
T	14.023690803	120.827089689	356.9						
T	14.024683955	120.825224139	299.7						
T	14.025481837	120.824393041	355.2						
T	14.026673337	120.822113056	356.2						
T	14.027069078	120.821077505	367.6						
T	14.027861596	120.819213073	368.0						
T	14.028456765	120.817969750	382.1						
T	14.029048715	120.816106427	390.6						
T	14.029643852	120.814863104	414.2						
T	14.030236831	120.813206446	455.0						
T	14.030631424	120.811964229	492.0						
T	14.031024927	120.810515345	482.4						
T	14.031620011	120.809272014	486.7						
T	14.031811893	120.807617569	474.0						
T	14.032203188	120.805755343	463.8						
T	14.032985715	120.802030872	523.5						
T	14.033376947	120.800168625	526.6						
T	14.033769247	120.798513039	535.9						
T	14.034161532	120.796857444	562.5						
T	14.034947146	120.793752896	449.8						
T	14.035342682	120.792717294	414.0						
T	14.036337547	120.791264976	346.3						
T	14.036533653	120.790437154	330.7						
T	14.037528496	120.788984813	365.1						
T	14.037926207	120.788362537	378.0						
T	14.039121540	120.786909052	410.5						
T	14.039720858	120.786492322	403.3						
T	14.040519578	120.785867785	416.8						
T	14.041918710	120.785033185	396.0						
T	14.043116217	120.783993014	421.1						
T	14.043916029	120.783575142	437.4						
T	14.044516438	120.783365075	452.8						
T	14.045516750	120.782946067	471.1						
T	14.047519578	120.782521417	395.6						
T	14.049121386	120.782099009	391.8						
T	14.050923690	120.781675461	435.7						
T	14.051723482	120.781257554	442.1						
T	14.052523272	120.780839645	454.4						
T	14.053523560	120.780420598	450.2						
T	14.054523847	120.780001545	405.4						
T	14.055525239	120.779789185	372.5						
T	14.057725198	120.778743218	350.9						
T	14.058524980	120.778325275	322.8						
T	14.060326150	120.777694943	292.1						
T	14.061124824	120.777070282	275.4						
T	14.062324495	120.776443336	259.5						
T	14.063524167	120.775816378	242.1						
T	14.065324230	120.774979273	241.4						
T	14.067123188	120.773935429	225.7						
T	14.068122365	120.773309566	217.6						
T	14.069121544	120.772683692	210.5						
T	14.069921331	120.772265672	214.0						
T	14.071121014	120.771638633	220.9						
T	14.071920805	120.771220598	221.6						
T	14.073119387	120.770386811	219.3						
T	14.074516260	120.769138396	204.3						
T	14.075714851	120.768304563	138.3						
T	14.076913449	120.767470716	181.9						
T	14.077712147	120.766845893	202.8						
T	14.077913760	120.767051470	207.9						
T	14.076920093	120.768711113	175.3						
T	14.075927533	120.770577440	160.1						
T	14.075331554	120.771614525	216.2						
T	14.074934972	120.772443723	225.5						
T	14.073941304	120.774103239	227.6						
T	14.073545823	120.775139129	231.6						
T	14.072354960	120.777419879	242.6						
T	14.071559579	120.778664728	251.3						
T	14.070370907	120.781358801	277.2						
T	14.070174810	120.782186769	290.5						
T	14.069183318	120.784259507	337.3						
T	14.068985018	120.784674051	349.3						
T	14.068389019	120.785710967	377.3						
T	14.067795211	120.787161272	414.1						
T	14.066602104	120.789028348	445.0						
T	14.065606200	120.790274173	436.2						
T	14.064409798	120.791521107	394.9						
T	14.063010713	120.792355762	372.4						
T	14.061612718	120.793397093	394.5						
T	14.061014512	120.794020535	394.2						
T	14.059417108	120.795269650	442.6						
T	14.057817517	120.796105372	478.8						
T	14.056617820	120.796732155	453.8						
T	14.055816929	120.796943320	463.3						
T	14.054215144	120.797365648	462.3						
T	14.052412857	120.797789086	484.1						
T	14.051414731	120.798621402	480.2						
T	14.049211432	120.799047061	487.3						
T	14.048011706	120.799673799	517.7						
T	14.047211884	120.800091622	538.5						
T	14.046211559	120.800510558	582.7						
T	14.045412818	120.801135049	628.2						
T	14.044412485	120.801553978	657.9						
T	14.043611562	120.801765115	681.2						
T	14.042211297	120.802392941	673.0						
T	14.041412540	120.803017418	700.5						
T	14.040813193	120.803434105	716.5						
T	14.040414353	120.803849677	684.7						
T	14.039816089	120.804473032	644.5						
T	14.038219614	120.805928631	641.0						
T	14.037224641	120.807380880	647.0						
T	14.036627433	120.808210892	608.9						
T	14.035435155	120.810284245	557.1						
T	14.033841815	120.812359806	499.7						
T	14.033048346	120.814017585	471.8						
T	14.032651605	120.814846472	462.9						
T	14.032455372	120.815674251	450.2						
T	14.031665062	120.817952029	416.4						
T	14.031270428	120.819194251	411.1						
T	14.030678453	120.821057587	400.1						
T	14.030283786	120.822299813	384.6						
T	14.029889111	120.823542040	362.9						
T	14.029495479	120.824990941	380.1						
T	14.029499707	120.825817623	384.9						
T	14.029103944	120.826853186	337.0						
T	14.028910800	120.828300993	344.3						
T	14.028913958	120.828921010	381.5						
T	14.028520272	120.830369928	396.8						
T	14.028524470	120.831196625	390.2						
T	14.028324995	120.831404402	390.1						
T	14.028132851	120.833058905	432.5						
T	14.027338067	120.834510048	455.5						
T	14.026945359	120.836165672	440.8						
T	14.026551588	120.837614626	441.6						
T	14.026358333	120.839062491	442.8						
T	14.026763539	120.839887018	441.6						
T	14.027565653	120.839882618	452.1						
T	14.028768814	120.839876019	455.5						
T	14.029766247	120.838837108	463.7						
T	14.030965224	120.838003782	465.7						
T	14.031765228	120.837586021	468.9						
T	14.033164696	120.836751601	483.3						
T	14.033763119	120.836128260	493.6						
T	14.034558916	120.834883780	481.4						
T	14.035952045	120.832809285	434.3						
T	14.036944106	120.830737000	459.6						
T	14.037540377	120.829700310	431.3						
T	14.038135584	120.828456946	380.7						
T	14.038731834	120.827420259	422.1						
T	14.038930231	120.827005805	431.3						
T	14.039922190	120.824933538	454.1						
T	14.040516288	120.823483503	456.0						
T	14.040911989	120.822447924	421.4						
T	14.041307685	120.821412344	424.5						
T	14.041503933	120.820584543	437.4						
T	14.042696296	120.818511172	484.6						
T	14.043091963	120.817475592	518.6						
T	14.044084847	120.815609994	530.5						
T	14.044881497	120.814572194	545.6						
T	14.045876490	120.813119933	507.4						
T	14.046473693	120.812289908	520.8						
T	14.046669893	120.811462100	540.5						
T	14.047066588	120.810633181	561.3						
T	14.048861378	120.808763104	560.2						
T	14.049459635	120.808139740	574.9						
T	14.050858797	120.807305246	602.2						
T	14.051657542	120.806680762	606.3						
T	14.052456283	120.806056274	546.4						
T	14.054255333	120.805012852	493.3						
T	14.055055148	120.804595034	515.1						
T	14.056054373	120.803969415	515.4						
T	14.056854182	120.803551589	498.4						
T	14.057653991	120.803133761	506.3						
T	14.059254687	120.802504779	542.4						
T	14.059853999	120.802088059	538.7						
T	14.061453603	120.801252376	560.0						
T	14.062852711	120.800417799	546.1						
T	14.064450135	120.799168710	541.0						
T	14.065649831	120.798541915	489.5						
T	14.066649033	120.797916234	452.3						
T	14.067448830	120.797498362	426.6						
T	14.068846841	120.796457033	360.4						
T	14.069645548	120.795832452	316.4						
T	14.071441277	120.794168749	347.7						
T	14.073239186	120.792918408	320.0						
T	14.074037894	120.792293791	336.0						
T	14.075434816	120.791045666	325.7						
T	14.076234617	120.790627735	310.5						
T	14.077429954	120.789173996	289.3						
T	14.078028169	120.788550472	287.7						
T	14.079026287	120.787717964	243.5						
T	14.079422912	120.786888846	224.2						
T	14.080617159	120.785228319	225.7						
T	14.081413688	120.784190186	226.8						
T	14.081811406	120.783567755	230.4						
T	14.082610126	120.782943039	224.4						
T	14.083807665	120.781902587	204.0						
T	14.084207576	120.781693581	222.4						
T	14.084411363	120.782312607	224.3						
T	14.085222129	120.783961820	250.1						
T	14.085226501	120.784788704	237.3						
T	14.085230872	120.785615587	228.9						
T	14.085233056	120.786029028	232.4						
T	14.084441964	120.788100756	260.5						
T	14.084051867	120.790170185	261.9						
T	14.083655224	120.790999307	256.9						
T	14.082662527	120.792865376	260.2						
T	14.081466066	120.794112411	302.3						
T	14.080068021	120.795153842	294.7						
T	14.079269296	120.795778467	312.1						
T	14.078070666	120.796612039	333.7						
T	14.077271944	120.797236647	337.6						
T	14.075075189	120.798902611	359.3						
T	14.074077060	120.799735016	371.3						
T	14.072279127	120.800985283	402.3						
T	14.071079420	120.801612085	422.3						
T	14.070281784	120.802443337	440.6						
T	14.069483063	120.803067888	469.6						
T	14.067286306	120.804733704	480.1						
T	14.065887186	120.805568270	475.9						
T	14.064489144	120.806609513	515.7						
T	14.064090320	120.807025116	525.6						
T	14.062692272	120.808066341	480.3						
T	14.061694124	120.808898645	446.1						
T	14.060894310	120.809316462	448.5						
T	14.060096650	120.810147644	476.5						
T	14.059498401	120.810771027	501.6						
T	14.058102480	120.812225578	526.8						
T	14.057306952	120.813470108	556.7						
T	14.056708692	120.814093478	549.3						
T	14.055711584	120.815132423	532.7						
T	14.055113315	120.815755788	565.5						
T	14.054316690	120.816793617	560.5						
T	14.053719484	120.817623657	532.9						
T	14.053125479	120.819073736	517.1						
T	14.052328830	120.820111555	523.7						
T	14.051732671	120.821148269	518.2						
T	14.051333808	120.821563836	508.0						
T	14.050538203	120.822808329	495.4						
T	14.049543151	120.824260602	497.9						
T	14.048349702	120.826127335	469.7						
T	14.047552995	120.827165141	466.7						
T	14.046157943	120.828826288	454.4						
T	14.044563413	120.830695215	499.6						
T	14.043566154	120.831734117	529.4						
T	14.042373626	120.833807532	528.6						
T	14.041182109	120.836087638	490.0						
T	14.040584765	120.836917667	477.5						
T	14.040187926	120.837746604	460.8						
T	14.039790034	120.838368854	448.7						
T	14.039194755	120.839612263	447.8						
T	14.038398949	120.840856772	444.0						
T	14.037603125	120.842101289	461.0						
T	14.036807285	120.843345810	470.8						
T	14.036014531	120.845210414	478.6						
T	14.035616594	120.845832685	496.5						
T	14.034621214	120.847285014	463.6						
T	14.034023769	120.848115080	438.6						
T	14.034229436	120.849147472	456.0						
T	14.035034608	120.849763193	476.2						
T	14.036037212	120.849757732	466.7						
T	14.036638775	120.849754457	467.2						
T	14.038241895	120.849539029	459.0						
T	14.039443970	120.849325783	457.6						
T	14.040043456	120.848909111	457.1						
T	14.041040868	120.847870159	475.5						
T	14.042037232	120.846624514	503.5						
T	14.043031502	120.844965482	527.0						
T	14.043228901	120.844344302	520.6						
T	14.043625767	120.843515337	506.3						
T	14.044421562	120.842270805	489.4						
T	14.044818412	120.841441848	477.3						
T	14.045214214	120.840406201	484.2						
T	14.046408896	120.838746112	517.4						
T	14.047602502	120.836879338	488.4						
T	14.048796077	120.835012572	515.9						
T	14.050390625	120.833143618	505.5						
T	14.050788465	120.832521364	508.8						
T	14.051384694	120.831484640	542.4						
T	14.052178243	120.829826761	550.8						
T	14.052573952	120.828791137	543.2						
T	14.054369957	120.827127768	548.3						
T	14.055166640	120.826089944	564.0						
T	14.056762109	120.824427662	561.5						
T	14.057359339	120.823597618	553.2						
T	14.058751081	120.821316364	575.3						
T	14.059349362	120.820693000	574.6						
T	14.059945505	120.819656261	541.1						
T	14.060542710	120.818826205	501.0						
T	14.062340729	120.817576147	508.3						
T	14.064338157	120.816118281	476.2						
T	14.066134006	120.814454811	465.5						
T	14.067131097	120.813415823	428.5						
T	14.068330826	120.812789101	449.4						
T	14.069528402	120.811748988	446.0						
T	14.070128803	120.811538968	424.4						
T	14.071529022	120.810911119	410.1						
T	14.072528255	120.810285483	386.2						
T	14.073725826	120.809245337	431.0						
T	14.074525642	120.808827496	428.4						
T	14.075923705	120.807786217	396.1						
T	14.076924018	120.807367252	382.3						
T	14.078521497	120.806118134	348.6						
T	14.080518889	120.804660056	313.2						
T	14.082521697	120.804235478	347.4						
T	14.083921938	120.803607534	338.3						
T	14.084521271	120.803190763	324.7						
T	14.085120606	120.802773988	309.7						
T	14.086122022	120.802561682	312.9						
T	14.087325025	120.802554966	313.8						
T	14.087928694	120.802965035	330.0						
T	14.088732865	120.803373988	346.3						
T	14.089739703	120.804195256	359.9						
T	14.089943447	120.804814285	363.2						
T	14.089745105	120.805228832	363.9						
T	14.088747992	120.806267982	358.4						
T	14.088351305	120.807097064	342.4						
T	14.087755194	120.808133968	338.9						
T	14.087556851	120.808548505	345.2						
T	14.086359237	120.809588732	364.8						
T	14.084961128	120.810630054	372.4						
T	14.084162363	120.811254619	364.9						
T	14.082563762	120.812297025	347.9						
T	14.081965499	120.812920466	373.1						
T	14.080766819	120.813753929	400.3						
T	14.078967728	120.814797404	368.2						
T	14.077369136	120.815839755	369.6						
T	14.076369881	120.816465380	377.2						
T	14.074970712	120.817299906	389.4						
T	14.073572613	120.818341120	418.4						
T	14.072376075	120.819587920	469.6						
T	14.070973691	120.819802326	502.2						
T	14.069374022	120.820637919	480.3						
T	14.067775418	120.821680195	468.0						
T	14.066378368	120.822928055	481.0						
T	14.064581386	120.824384795	543.1						
T	14.063983099	120.825008166	541.9						
T	14.062185033	120.826258197	527.5						
T	14.061788293	120.827087158	531.9						
T	14.060793247	120.828539481	553.4						
T	14.059194582	120.829581705	574.7						
T	14.058597328	120.830411757	599.5						
T	14.057999012	120.831035116	615.2						
T	14.056802370	120.832281831	597.2						
T	14.056404541	120.832904094	602.0						
T	14.055410483	120.834563098	559.9						
T	14.055010539	120.834771978	548.9						
T	14.054215905	120.836223197	553.7						
T	14.053420206	120.837467727	549.1						
T	14.052822901	120.838297779	551.0						
T	14.052027180	120.839542312	582.7						
T	14.050832530	120.841202422	523.2						
T	14.050234153	120.841825781	509.5						
T	14.049638898	120.843069237	533.1						
T	14.048842084	120.844107086	505.7						
T	14.048245766	120.845143847	532.7						
